condition,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text_intro.started,text_intro.stopped,text_cross.started,text_cross.stopped,text_pre_condition.started,text_pre_condition.stopped,text_pre_fix.started,text_pre_fix.stopped,text_condition.started,text_condition.stopped,text.started,text.stopped,text_end.started,text_end.stopped,participant,session,date,expName,psychopyVersion,frameRate,
hand,17,1,35,1,,,437.09296090000134,None,440.0930254999985,None,440.0930254999985,None,441.59309889998985,None,446.5933145000017,None,,,000,001,2021_Nov_18_0248,para,2021.2.3,60.00358821220984,
hand,18,0,36,1,,,448.59345539999777,None,451.59358000000066,None,451.59358000000066,None,453.0936434999894,None,458.09387529999367,None,,,000,001,2021_Nov_18_0248,para,2021.2.3,60.00358821220984,
feet,18,1,37,0,,,460.09393109999655,None,463.1106645999971,None,463.1106645999971,None,464.6107973999897,None,469.5944135999889,None,,,000,001,2021_Nov_18_0248,para,2021.2.3,60.00358821220984,
hand,19,0,38,1,,,471.5943528999924,None,474.61114329998964,None,474.61114329998964,None,476.11120590000064,None,481.09496699999727,None,,,000,001,2021_Nov_18_0248,para,2021.2.3,60.00358821220984,
feet,19,1,39,0,,,483.0949172999972,None,486.1116258999973,None,486.1116258999973,None,487.6117502999987,None,492.5953259999951,None,,,000,001,2021_Nov_18_0248,para,2021.2.3,60.00358821220984,
hand,20,0,40,1,,,494.5953925999929,None,497.59542959999817,None,497.59542959999817,None,499.09555289999116,None,504.0790341999964,None,,,000,001,2021_Nov_18_0248,para,2021.2.3,60.00358821220984,
feet,20,1,41,0,,,506.0791190000018,None,509.0959620999929,None,509.0959620999929,None,510.59596079999756,None,515.5795161999995,None,,,000,001,2021_Nov_18_0248,para,2021.2.3,60.00358821220984,
feet,21,0,42,0,,,517.5796579000016,None,520.5798014999891,None,520.5798014999891,None,522.079854399999,None,527.0799916999968,None,,,000,001,2021_Nov_18_0248,para,2021.2.3,60.00358821220984,
feet,21,1,43,0,,,529.0801441999938,None,532.0803125999955,None,532.0803125999955,None,533.5803803000017,None,538.5805421999976,None,,,000,001,2021_Nov_18_0248,para,2021.2.3,60.00358821220984,
hand,22,0,44,1,,,540.5805665999942,None,543.5973602000013,None,543.5973602000013,None,545.0974830999912,None,550.0809515000001,None,,,000,001,2021_Nov_18_0248,para,2021.2.3,60.00358821220984,
hand,22,1,45,1,,,552.0810511000018,None,555.0812968999962,None,555.0812968999962,None,556.5813368999952,None,561.5814545999892,None,,,000,001,2021_Nov_18_0248,para,2021.2.3,60.00358821220984,
feet,23,0,46,0,,,563.581592699993,None,566.598327499989,None,566.598327499989,None,568.0983922000014,None,573.08198789999,None,,,000,001,2021_Nov_18_0248,para,2021.2.3,60.00358821220984,
hand,23,1,47,1,,,575.0820207999932,None,578.0989026999887,None,578.0989026999887,None,579.5989308999997,None,584.5824215999892,None,,,000,001,2021_Nov_18_0248,para,2021.2.3,60.00358821220984,
hand,24,0,48,1,,,586.5825061999931,None,589.5826930999901,None,589.5826930999901,None,591.0826997999975,None,596.0829580999998,None,,,000,001,2021_Nov_18_0248,para,2021.2.3,60.00358821220984,
hand,24,1,49,1,,,598.0829782999936,None,601.0831229999894,None,601.0831229999894,None,602.5831862999912,None,607.5834576999914,None,,,000,001,2021_Nov_18_0248,para,2021.2.3,60.00358821220984,
hand,25,0,50,1,,,609.5835395999893,None,612.5836044999887,None,612.5836044999887,None,614.0836693000019,None,619.0839387000015,None,,,000,001,2021_Nov_18_0248,para,2021.2.3,60.00358821220984,
hand,25,1,51,1,,,621.0840097999899,None,624.0840890999971,None,624.0840890999971,None,625.5842663999938,None,630.5844215999969,None,,,000,001,2021_Nov_18_0248,para,2021.2.3,60.00358821220984,
hand,26,0,52,1,,,632.5845062000008,None,635.5846130999998,None,635.5846130999998,None,637.0846335999959,None,642.0848484000016,None,,,000,001,2021_Nov_18_0248,para,2021.2.3,60.00358821220984,
feet,26,1,53,0,,,644.0849831999949,None,647.1017408999905,None,647.1017408999905,None,648.6018937999906,None,653.5853923999966,None,,,000,001,2021_Nov_18_0248,para,2021.2.3,60.00358821220984,
hand,27,0,54,1,,,655.5854765999975,None,658.6022052999906,None,658.6022052999906,None,660.1023427999899,None,665.085895199998,None,,,000,001,2021_Nov_18_0248,para,2021.2.3,60.00358821220984,
hand,27,1,55,1,,,667.0859536999924,None,670.0860131999943,None,670.0860131999943,None,671.5860837999935,None,676.5863068999897,None,,,000,001,2021_Nov_18_0248,para,2021.2.3,60.00358821220984,
feet,28,0,56,0,,,678.5863738999906,None,681.6031689999945,None,681.6031689999945,None,683.1033338999987,None,688.0868441999919,None,,,000,001,2021_Nov_18_0248,para,2021.2.3,60.00358821220984,
hand,28,1,57,1,,,690.0868520999938,None,693.1037059999944,None,693.1037059999944,None,694.603710299998,None,699.5873528999946,None,,,000,001,2021_Nov_18_0248,para,2021.2.3,60.00358821220984,
feet,29,0,58,0,,,701.5874039999908,None,704.6041963999887,None,704.6041963999887,None,706.1042936000013,None,711.0877999999939,None,,,000,001,2021_Nov_18_0248,para,2021.2.3,60.00358821220984,
feet,29,1,59,0,,,713.0878259000019,None,716.0879384,None,716.0879384,None,717.5879979000019,None,722.5883815999987,None,,,000,001,2021_Nov_18_0248,para,2021.2.3,60.00358821220984,
